t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
12.4039,nf4,3323,12288,1,1,175.04,57,1995,9251,1703.03,1732,1704.55,1
12.5722,nf4,3331,12288,1,1,175.04,57,1995,9251,1703.28,1732,1705.39,1
12.7404,nf4,3333,12288,1,1,179.36,58,1995,9251,1702.19,1732,1705.39,1
12.9236,nf4,3331,12288,1,1,179.36,58,1995,9251,1702.16,1732,1705.39,1
13.0919,nf4,3331,12288,1,1,179.36,58,1995,9251,1702.16,1732,1705.39,1
13.2764,nf4,3331,12288,94,6,179.65,58,1995,9251,1702.16,1732,1705.39,1
13.4439,nf4,3329,12288,94,6,179.65,58,1995,9251,1702.18,1732,1705.39,1
13.6119,nf4,3329,12288,94,6,179.65,58,1995,9251,1702.17,1732,1705.39,1
13.7851,nf4,3328,12288,94,6,182.49,58,1995,9251,1702.16,1732,1705.39,1
13.9553,nf4,3328,12288,94,6,182.49,58,1995,9251,1702.16,1732,1705.39,1
14.1433,nf4,3328,12288,94,6,182.49,58,1995,9251,1702.16,1732,1705.39,1
14.3286,nf4,3326,12288,95,6,180.78,59,1995,9251,1702.17,1732,1705.39,1
14.4979,nf4,3326,12288,95,6,180.78,59,1995,9251,1702.16,1732,1705.39,1
14.6689,nf4,3326,12288,95,6,180.78,59,1995,9251,1702.16,1732,1705.39,1
14.8374,nf4,3315,12288,95,6,180.91,59,1995,9251,1702.16,1732,1705.39,1
15.0055,nf4,3347,12288,95,6,180.91,59,1995,9251,1702.19,1732,1705.39,1
15.1737,nf4,3347,12288,95,6,180.91,59,1995,9251,1702.18,1732,1705.39,1
15.3414,nf4,3347,12288,94,5,181.32,59,1995,9251,1702.17,1732,1705.39,1
15.5263,nf4,3347,12288,94,5,181.32,59,1995,9251,1702.16,1732,1705.39,1
15.6932,nf4,3324,12288,94,5,181.32,59,1995,9251,1702.16,1732,1705.39,1
15.8605,nf4,3316,12288,94,5,181.38,59,1995,9251,1702.16,1732,1705.39,1
16.0285,nf4,3316,12288,94,5,181.38,59,1995,9251,1702.17,1732,1705.39,1
16.1972,nf4,3316,12288,94,5,181.38,59,1995,9251,1702.17,1732,1705.39,1
16.3653,nf4,3316,12288,94,5,180.88,59,1995,9251,1702.17,1732,1705.39,1
16.5333,nf4,3320,12288,94,5,180.88,59,1995,9251,1702.17,1732,1705.39,1
16.7195,nf4,3317,12288,94,5,180.88,59,1995,9251,1702.16,1732,1705.39,1
16.8882,nf4,3317,12288,94,5,180.99,59,1995,9251,1702.17,1732,1705.39,1
17.0615,nf4,3317,12288,94,5,180.99,59,1995,9251,1702.16,1732,1705.39,1
17.2316,nf4,3317,12288,94,5,180.99,59,1995,9251,1702.16,1732,1705.39,1
17.4013,nf4,3317,12288,94,5,181.33,59,1995,9251,1702.16,1732,1705.39,1
17.5705,nf4,3317,12288,94,5,181.33,59,1995,9251,1702.18,1732,1705.39,1
17.7385,nf4,3317,12288,94,5,181.33,59,1995,9251,1702.18,1732,1705.39,1
17.9085,nf4,3317,12288,94,5,181.26,59,1995,9251,1702.16,1732,1705.39,1
18.0774,nf4,3317,12288,94,5,181.26,59,1995,9251,1702.16,1732,1705.39,1
18.2624,nf4,3315,12288,94,5,181.53,59,1995,9251,1702.16,1732,1705.39,1
18.4461,nf4,3314,12288,94,5,181.53,59,1995,9251,1702.18,1732,1705.39,1
18.6166,nf4,3314,12288,94,5,181.53,59,1995,9251,1702.16,1732,1705.39,1
18.7860,nf4,3315,12288,94,5,181.26,60,1995,9251,1702.16,1732,1705.39,1
18.9582,nf4,3315,12288,94,5,181.26,60,1995,9251,1702.17,1732,1705.39,1
19.1292,nf4,3315,12288,94,5,181.26,60,1995,9251,1702.19,1732,1705.39,1
19.2966,nf4,3315,12288,94,5,181.35,60,1995,9251,1702.16,1732,1705.39,1
19.4651,nf4,3314,12288,94,5,181.35,60,1995,9251,1702.18,1732,1705.39,1
19.6342,nf4,3315,12288,94,5,181.35,60,1995,9251,1702.17,1732,1705.39,1
19.8052,nf4,3315,12288,94,5,181.54,60,1995,9251,1702.16,1732,1705.39,1
19.9793,nf4,3305,12288,94,5,181.54,60,1995,9251,1702.17,1732,1705.39,1
20.1521,nf4,3303,12288,94,5,181.54,60,1995,9251,1702.16,1732,1705.39,1
20.3206,nf4,3303,12288,95,5,181.2,60,1995,9251,1702.16,1732,1705.39,1
20.4893,nf4,3303,12288,95,5,181.2,60,1995,9251,1702.17,1732,1705.39,1
20.6614,nf4,3297,12288,95,5,181.2,60,1995,9251,1702.16,1732,1705.39,1
20.8293,nf4,3298,12288,95,5,181.25,60,1995,9251,1702.18,1732,1705.39,1
20.9985,nf4,3298,12288,95,5,181.25,60,1995,9251,1702.16,1732,1705.39,1
21.1695,nf4,3298,12288,95,5,181.25,60,1995,9251,1702.19,1732,1705.39,1
21.3398,nf4,3296,12288,94,6,181.29,60,1995,9251,1702.16,1732,1705.39,1
21.5094,nf4,3301,12288,94,6,181.29,60,1995,9251,1702.16,1732,1705.39,1
21.6802,nf4,3301,12288,94,6,181.29,60,1995,9251,1702.16,1732,1705.39,1
21.8504,nf4,3300,12288,94,6,180.98,60,1995,9251,1702.17,1732,1705.39,1
