t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,nf4,1335,12288,1,21,40.49,58,210,405,0,0,0,
0.0382,nf4,1335,12288,1,21,40.49,58,210,405,0,0,0,
0.2158,nf4,1335,12288,1,22,38.26,58,210,405,0,0,0,
0.3856,nf4,1335,12288,1,22,38.26,58,210,405,0,0,0,
0.5558,nf4,1335,12288,1,22,38.26,58,210,405,0,0,0,
0.7254,nf4,1335,12288,1,22,38.03,58,210,405,0,0,0,
0.8951,nf4,1335,12288,1,22,38.03,58,210,405,0,0,0,
1.1133,nf4,1335,12288,1,22,38.03,58,210,405,0,0,0,
1.2845,nf4,1335,12288,0,22,37.9,57,210,405,0,0,0,
1.4544,nf4,1335,12288,0,22,37.9,57,210,405,0,0,0,
1.6249,nf4,1335,12288,0,22,37.9,57,210,405,0,0,0,
1.7936,nf4,1335,12288,0,22,37.82,57,210,405,0,0,0,
1.9625,nf4,1335,12288,0,22,37.82,57,210,405,0,0,0,
2.1420,nf4,1335,12288,1,22,37.68,57,210,405,0,0,0,
2.3201,nf4,1335,12288,1,22,37.68,57,210,405,0,0,0,
2.4898,nf4,1335,12288,1,22,37.68,57,210,405,0,0,0,
2.6603,nf4,1335,12288,1,22,37.72,57,210,405,0,0,0,
2.8302,nf4,1335,12288,1,22,37.72,57,210,405,0,0,0,
3.0000,nf4,1335,12288,1,22,37.72,57,210,405,0,0,0,
3.2039,nf4,1335,12288,1,23,37.77,57,210,405,0,0,0,
3.3746,nf4,1335,12288,1,23,37.77,57,210,405,0,0,0,
3.5453,nf4,1335,12288,1,23,37.77,57,210,405,0,0,0,
3.7157,nf4,1335,12288,1,23,37.8,57,210,405,0,0,0,
3.8891,nf4,1335,12288,1,23,37.8,57,210,405,0,0,0,
4.0871,nf4,1335,12288,1,23,37.8,57,210,405,0,0,0,
4.3101,nf4,1335,12288,0,23,37.76,56,210,405,0,0,0,
