t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,bf16,1519,12288,6,2,65.88,56,345,810,0,0,0,
0.0405,bf16,1519,12288,6,2,65.88,56,345,810,0,0,0,
0.2183,bf16,1520,12288,6,2,65.88,56,345,810,0,0,0,
0.3906,bf16,1520,12288,11,13,49.14,56,315,810,0,0,0,
0.5624,bf16,1520,12288,11,13,49.14,56,315,810,0,0,0,
0.9346,bf16,1520,12288,11,13,42.43,56,255,810,0,0,0,
1.1446,bf16,1518,12288,11,13,42.43,56,255,810,0,0,0,
1.3300,bf16,1516,12288,11,13,42.43,56,255,810,0,0,0,
1.5077,bf16,1577,12288,6,11,42.1,56,225,810,0,0,0,
1.6787,bf16,1572,12288,6,11,42.1,56,225,810,0,0,0,
1.8494,bf16,1563,12288,6,11,42.1,56,225,810,0,0,0,
2.0193,bf16,1562,12288,6,11,41.6,56,210,405,0,0,0,
2.1888,bf16,1560,12288,6,11,41.6,56,210,405,0,0,0,
2.3615,bf16,1550,12288,7,21,39.49,56,210,405,0,0,0,
2.5577,bf16,1557,12288,7,21,39.49,56,210,405,0,0,0,
2.7645,bf16,3255,12288,7,21,39.49,56,210,405,593.504,5888,5886,
3.5412,bf16,7467,12288,6,1,84.51,59,1995,9251,878.521,5890,5886,
3.8279,bf16,7467,12288,6,1,130.34,60,1995,9251,1172.55,5894,5886,
4.0942,bf16,7461,12288,6,1,130.34,60,1995,9251,1604.58,5900,5886,
4.4851,bf16,7448,12288,7,1,137.77,60,1995,9251,1899.61,5904,5886,
4.7484,bf16,7452,12288,7,1,137.77,60,1995,9251,2209.64,5908,5886,
5.0258,bf16,7458,12288,7,1,137.92,60,1710,9251,2642.67,5914,5886,
5.4186,bf16,7462,12288,6,1,127.84,59,1710,9251,2936.7,5918,5886,
5.7320,bf16,7437,12288,6,1,127.84,59,1710,9251,3239.73,5924,5886,
6.0251,bf16,7443,12288,6,1,117.48,59,1710,9251,3662.76,5928,5886,
6.4672,bf16,7449,12288,4,1,115.27,59,1710,9251,3965.79,5932,5886,
6.7409,bf16,7455,12288,4,1,115.27,59,1710,9251,4311.82,5938,5886,
7.0746,bf16,7459,12288,4,1,115.4,59,1710,9251,4692.85,5942,5886,
7.4224,bf16,7463,12288,11,1,115.45,60,1710,9251,5002.88,5946,5886,
7.7244,bf16,7467,12288,11,1,115.45,60,1710,9251,5297.91,5952,5886,
8.0092,bf16,7473,12288,11,1,115.46,60,1710,9251,5721.94,5956,5886,
8.3628,bf16,7477,12288,8,1,115.41,60,1710,9251,5885.96,5960,5886,
8.5416,bf16,7513,12288,8,1,115.41,60,1710,9251,5886.09,5960,5886.09,
8.7110,bf16,7525,12288,8,1,115.41,60,1710,9251,5895.47,5960,5895.47,
8.8840,bf16,7533,12288,8,1,117.26,60,1710,9251,5897.36,5964,5897.63,
9.0559,bf16,7533,12288,8,1,117.26,60,1710,9251,5896.49,5964,5897.63,
9.2257,bf16,7533,12288,8,1,117.26,60,1710,9251,5894.87,5964,5897.63,
9.3961,bf16,7535,12288,34,19,126.38,61,1575,9251,5896.84,5966,5898.89,1
9.5676,bf16,7535,12288,34,19,126.38,61,1575,9251,5894.96,5966,5898.89,1
9.7373,bf16,7535,12288,34,19,126.38,61,1575,9251,5897.33,5966,5898.89,2
9.9072,bf16,7535,12288,34,19,140.71,61,1725,9251,5896.75,5966,5898.89,2
10.0761,bf16,7535,12288,34,19,140.71,61,1725,9251,5896.94,5966,5899.23,3
10.2461,bf16,7535,12288,34,19,140.71,61,1725,9251,5894.09,5966,5899.23,
10.4160,bf16,7535,12288,14,1,140.69,61,1725,9251,4902.56,5966,5899.23,
10.5861,bf16,7535,12288,14,1,140.69,61,1725,9251,4400.51,5966,5899.23,
10.7549,bf16,7535,12288,14,1,140.69,61,1725,9251,3873.47,5966,5899.23,
10.9242,bf16,7535,12288,14,1,128.06,61,1725,9251,3328.42,5966,5899.23,
11.0918,bf16,7535,12288,14,1,128.06,61,1725,9251,2844.38,5966,5899.23,
11.2615,bf16,7535,12288,14,1,128.06,61,1725,9251,2299.33,5966,5899.23,
11.4301,bf16,7535,12288,14,1,117.3,61,1725,9251,1754.28,5966,5899.23,
11.6004,bf16,7535,12288,14,1,117.3,61,1725,9251,1227.24,5966,5899.23,
11.7734,bf16,7535,12288,14,1,117.3,61,1725,9251,639.189,5966,5899.23,
11.9618,bf16,7535,12288,14,1,107.93,60,930,5001,94.1387,5966,5899.23,
12.2005,bf16,7459,12288,14,1,107.93,60,930,5001,8.12598,5890,5899.23,
12.6197,bf16,7459,12288,0,2,90.63,59,810,5001,8.12598,5890,5899.23,
0.0000,nf4,1299,12288,7,22,37.51,58,210,405,0,0,0,
0.0480,nf4,1299,12288,7,22,37.51,58,210,405,0,0,0,
0.2258,nf4,1299,12288,7,22,37.5,58,210,405,0,0,0,
0.3971,nf4,1299,12288,7,22,37.5,58,210,405,0,0,0,
0.5685,nf4,1299,12288,7,22,37.5,58,210,405,0,0,0,
0.9564,nf4,1299,12288,7,22,37.46,58,210,405,0,0,0,
1.1283,nf4,1299,12288,7,22,37.46,58,210,405,0,0,0,
1.2980,nf4,1299,12288,7,22,37.44,58,210,405,0,0,0,
1.4691,nf4,1299,12288,7,22,37.44,58,210,405,0,0,0,
1.6418,nf4,1299,12288,7,22,37.44,58,210,405,0,0,0,
1.8120,nf4,1299,12288,8,22,37.4,58,210,405,0,0,0,
1.9839,nf4,1299,12288,8,22,37.4,58,210,405,0,0,0,
2.1546,nf4,1299,12288,8,22,37.4,58,210,405,0,0,0,
2.3487,nf4,1299,12288,8,22,37.46,58,210,405,0,0,0,
2.5277,nf4,1299,12288,8,22,37.46,58,210,405,0,0,0,
2.7276,nf4,1310,12288,13,23,37.55,58,210,405,0,0,0,
2.9432,nf4,1808,12288,13,23,37.55,58,210,405,296.125,298,296.125,
3.1135,nf4,2026,12288,13,23,37.55,58,210,405,510.453,516,510.453,
3.2850,nf4,2236,12288,13,23,69.7,60,1710,9251,728.094,748,728.094,
3.4712,nf4,2456,12288,13,23,69.7,60,1710,9251,944.625,946,944.625,
3.6409,nf4,2676,12288,13,23,69.7,60,1710,9251,1146.95,1154,1146.95,
3.8120,nf4,2874,12288,10,1,105.33,60,1710,9251,1361.94,1364,1361.94,
3.9867,nf4,3080,12288,10,1,105.33,60,1710,9251,1564.27,1570,1564.27,
4.1549,nf4,3210,12288,10,1,105.33,60,1710,9251,1635.72,1640,1635.72,
4.3274,nf4,3244,12288,10,1,116.1,60,1710,9251,1644.4,1664,1644.84,
4.4975,nf4,3246,12288,10,1,116.1,60,1710,9251,1644.25,1666,1644.84,
