t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,bf16,1406,12288,39,20,46.02,56,525,810,0,0,0,
0.0448,bf16,1406,12288,39,20,46.02,56,525,810,0,0,0,
0.2215,bf16,1406,12288,39,20,46.02,56,525,810,0,0,0,
0.3924,bf16,1406,12288,39,20,46.02,56,525,810,0,0,0,
0.5628,bf16,1406,12288,37,19,45.98,56,525,810,0,0,0,
0.8721,bf16,1401,12288,37,19,45.98,56,525,810,0,0,0,
1.0417,bf16,1401,12288,37,19,45.99,56,525,810,0,0,0,
1.2113,bf16,1400,12288,37,19,45.99,56,525,810,0,0,0,
1.3823,bf16,1400,12288,37,19,45.99,56,525,810,0,0,0,
1.5669,bf16,1400,12288,39,19,45.98,56,525,810,0,0,0,
1.7353,bf16,1400,12288,39,19,45.98,56,525,810,0,0,0,
1.9079,bf16,1400,12288,39,19,45.98,56,525,810,0,0,0,
2.0781,bf16,1400,12288,39,19,46.06,56,525,810,0,0,0,
2.2482,bf16,1400,12288,39,19,46.06,56,525,810,0,0,0,
2.4197,bf16,1400,12288,39,19,46.06,56,525,810,0,0,0,
2.5879,bf16,1400,12288,35,19,45.89,56,525,810,0,0,0,
2.8134,bf16,1400,12288,35,19,45.89,56,525,810,0,0,0,
3.0030,bf16,1421,12288,35,19,45.88,56,570,810,0,0,0,
3.4004,bf16,7509,12288,35,19,45.88,56,570,810,723.508,5888,5886,
3.8087,bf16,7515,12288,26,2,84.73,59,1995,9251,1016.53,5892,5886,
4.0961,bf16,7519,12288,26,2,129.9,60,1995,9251,1310.56,5896,5886,
4.4009,bf16,7523,12288,26,2,129.9,60,1995,9251,1613.59,5900,5886,
4.6880,bf16,7529,12288,13,2,145.26,60,1995,9251,2046.62,5906,5886,
5.0978,bf16,7533,12288,13,2,145.27,61,1710,9251,2348.65,5910,5886,
5.3544,bf16,7539,12288,13,2,145.27,61,1710,9251,2780.68,5916,5886,
5.6492,bf16,7543,12288,18,2,133.77,60,1710,9251,3091.72,5920,5886,
5.9232,bf16,7547,12288,18,2,122.24,60,1710,9251,3429.74,5926,5886,
6.2299,bf16,7553,12288,18,2,122.24,60,1710,9251,3810.77,5930,5886,
6.6069,bf16,7557,12288,18,2,119.74,60,1710,9251,4121.8,5936,5886,
6.8731,bf16,7563,12288,18,2,119.74,60,1710,9251,4544.84,5940,5886,
7.2546,bf16,7567,12288,18,2,119.72,60,1710,9251,4838.86,5944,5886,
7.5453,bf16,7571,12288,17,2,119.86,60,1710,9251,5132.89,5948,5886,
7.7956,bf16,7575,12288,17,2,119.86,60,1710,9251,5426.91,5952,5886,
8.0697,bf16,7581,12288,17,2,119.93,60,1710,9251,5867.95,5958,5886,
8.3636,bf16,7619,12288,17,2,119.93,60,1710,9251,5885.96,5960,5886,
8.5324,bf16,7629,12288,13,2,119.89,60,1710,9251,5895.47,5960,5895.47,
8.7032,bf16,7639,12288,13,2,119.89,60,1710,9251,5896.4,5964,5897.63,
8.8741,bf16,7639,12288,13,2,119.89,60,1710,9251,5896.51,5964,5897.63,
9.0579,bf16,7641,12288,13,2,131.98,61,1860,9251,5898.34,5968,5901.46,
9.2411,bf16,7645,12288,13,2,131.98,61,1860,9251,5898.32,5970,5903.46,1
9.4105,bf16,7645,12288,13,2,131.98,61,1860,9251,5898.44,5970,5903.46,1
9.5797,bf16,7645,12288,56,25,167.92,63,1980,9251,5898.59,5970,5903.46,1
9.7494,bf16,7645,12288,56,25,167.92,63,1980,9251,5898.69,5970,5903.46,1
9.9197,bf16,7645,12288,56,25,167.92,63,1980,9251,5898.83,5970,5903.46,1
10.0887,bf16,7645,12288,56,25,196.88,64,1980,9251,5898.97,5970,5903.46,1
10.2615,bf16,7645,12288,56,25,196.88,64,1980,9251,5899.11,5970,5903.46,1
10.4327,bf16,7645,12288,56,25,196.88,64,1980,9251,5899.28,5970,5903.46,1
10.6038,bf16,7645,12288,51,22,203.01,64,1980,9251,5899.39,5970,5903.46,1
10.7740,bf16,7645,12288,51,22,203.01,64,1980,9251,5899.53,5970,5903.46,1
10.9446,bf16,7645,12288,51,22,203.01,64,1980,9251,5899.67,5970,5903.46,1
11.1139,bf16,7645,12288,51,22,203.73,64,1980,9251,5899.83,5970,5903.46,1
11.2847,bf16,7645,12288,51,22,203.73,64,1980,9251,5900.23,5970,5903.46,1
11.4548,bf16,7645,12288,51,22,203.73,64,1980,9251,5900.11,5970,5903.59,1
11.6238,bf16,7645,12288,48,23,203.44,64,1980,9251,5900.28,5970,5903.81,1
11.7941,bf16,7645,12288,48,23,203.44,64,1980,9251,5900.35,5970,5904.01,1
11.9640,bf16,7645,12288,48,23,203.44,64,1980,9251,5900.47,5970,5904.26,1
12.1350,bf16,7645,12288,48,23,201.37,65,1980,9251,5900.6,5970,5904.47,1
12.3059,bf16,7645,12288,48,23,201.37,65,1980,9251,5900.75,5970,5904.73,1
12.4788,bf16,7645,12288,48,23,201.37,65,1980,9251,5900.9,5970,5904.98,1
12.6460,bf16,7645,12288,53,24,201.15,65,1980,9251,5901,5970,5905.16,1
12.8163,bf16,7645,12288,53,24,201.15,65,1980,9251,5901.11,5970,5905.35,1
12.9871,bf16,7645,12288,53,24,201.15,65,1980,9251,5901.2,5970,5905.53,1
13.1557,bf16,7645,12288,53,24,197.68,64,1980,9251,5901.34,5970,5905.75,1
13.3278,bf16,7645,12288,53,24,197.68,64,1980,9251,5901.49,5970,5906,1
13.4986,bf16,7645,12288,53,24,197.68,64,1980,9251,5901.64,5970,5906.2,1
13.6715,bf16,7645,12288,45,20,196.32,65,1980,9251,5901.75,5970,5906.47,1
13.8404,bf16,7645,12288,45,20,196.32,65,1980,9251,5901.9,5970,5906.72,1
14.0099,bf16,7645,12288,45,20,200.54,65,1980,9251,5902.02,5970,5906.92,1
14.1801,bf16,7647,12288,45,20,200.54,65,1980,9251,5905.65,5972,5907.16,1
14.3497,bf16,7647,12288,45,20,200.54,65,1980,9251,5902.28,5972,5907.37,1
14.5198,bf16,7647,12288,46,19,200.64,65,1980,9251,5902.39,5972,5907.57,1
14.6921,bf16,7647,12288,46,19,200.64,65,1980,9251,5902.51,5972,5907.77,1
14.8616,bf16,7647,12288,46,19,200.64,65,1980,9251,5902.65,5972,5908.02,1
15.0320,bf16,7647,12288,46,19,200.17,65,1980,9251,5902.8,5972,5908.26,1
15.2015,bf16,7647,12288,46,19,200.17,65,1980,9251,5902.91,5972,5908.47,1
15.3709,bf16,7647,12288,46,19,200.17,65,1980,9251,5903.06,5972,5908.72,1
15.5398,bf16,7647,12288,45,19,200.51,65,1980,9251,5907.18,5972,5908.92,1
15.7109,bf16,7647,12288,45,19,200.51,65,1980,9251,5903.31,5972,5909.15,1
15.8818,bf16,7647,12288,45,19,200.51,65,1980,9251,5903.43,5972,5909.35,1
16.0498,bf16,7647,12288,45,19,201.57,65,1980,9251,5903.57,5972,5909.59,1
16.2187,bf16,7649,12288,45,19,201.57,65,1980,9251,5903.7,5974,5909.8,1
16.3891,bf16,7649,12288,45,19,201.57,65,1980,9251,5903.84,5974,5910.06,1
16.5605,bf16,7649,12288,48,21,201.04,65,1980,9251,5908.32,5974,5910.24,1
16.7299,bf16,7649,12288,48,21,201.04,65,1980,9251,5904.05,5974,5910.43,1
16.9021,bf16,7649,12288,48,21,201.04,65,1980,9251,5904.18,5974,5910.66,1
17.0714,bf16,7649,12288,48,21,200.11,65,1980,9251,5904.31,5974,5910.86,1
17.2405,bf16,7649,12288,48,21,200.11,65,1980,9251,5904.43,5974,5911.09,1
17.4123,bf16,7649,12288,48,21,200.11,65,1980,9251,5904.6,5974,5911.34,1
17.5836,bf16,7649,12288,57,25,200.79,65,1980,9251,5904.74,5974,5911.62,1
17.7538,bf16,7649,12288,57,25,200.79,65,1980,9251,5904.86,5974,5911.82,1
17.9241,bf16,7649,12288,57,25,200.79,65,1980,9251,5905,5974,5912.05,1
18.0935,bf16,7649,12288,57,25,204.17,65,1980,9251,5905.12,5974,5912.26,1
18.2662,bf16,7649,12288,57,25,204.17,65,1980,9251,5905.41,5974,5912.53,1
18.4373,bf16,7649,12288,57,25,204.17,65,1980,9251,5910.54,5974,5912.78,1
18.6068,bf16,7649,12288,51,22,205.81,66,1980,9251,5905.55,5974,5912.98,1
18.7778,bf16,7651,12288,51,22,205.81,66,1980,9251,5905.69,5976,5913.21,1
18.9476,bf16,7651,12288,51,22,205.81,66,1980,9251,5905.82,5976,5913.47,1
19.1170,bf16,7651,12288,51,22,205.57,65,1980,9251,5905.95,5976,5913.7,1
19.2883,bf16,7651,12288,51,22,205.57,65,1980,9251,5911.56,5976,5913.95,1
19.4580,bf16,7651,12288,51,22,205.57,65,1980,9251,5906.23,5976,5914.2,1
19.6274,bf16,7651,12288,57,26,206.66,66,1980,9251,5906.38,5976,5914.43,1
19.7951,bf16,7651,12288,57,26,206.66,66,1980,9251,5914.62,5976,5914.62,1
19.9665,bf16,7653,12288,57,26,206.66,66,1980,9251,5906.65,5978,5914.9,1
20.1367,bf16,7653,12288,57,26,207.04,66,1980,9251,5906.77,5978,5915.1,1
20.3073,bf16,7653,12288,57,26,207.04,66,1980,9251,5906.89,5978,5915.33,1
20.4792,bf16,7653,12288,57,26,207.04,66,1980,9251,5907.01,5978,5915.54,1
20.6489,bf16,7653,12288,52,23,203.89,65,1980,9251,5897.53,5978,5915.72,2
20.8203,bf16,7653,12288,52,23,203.89,65,1980,9251,5898.5,5978,5915.72,2
20.9908,bf16,7653,12288,52,23,203.89,65,1980,9251,5898.62,5978,5915.72,2
21.1593,bf16,7653,12288,52,23,204.38,65,1980,9251,5898.75,5978,5915.72,2
21.3296,bf16,7653,12288,52,23,204.38,65,1980,9251,5898.88,5978,5915.72,2
21.4994,bf16,7653,12288,52,23,204.38,65,1980,9251,5899.05,5978,5915.72,2
21.6715,bf16,7653,12288,57,25,204.38,65,1980,9251,5899.16,5978,5915.72,2
